time;power(kw);accuracy(sec)
;5268.462022;
;5249.048234;
;5189.279728;
;5222.629487;
;5127.026846;
;5169.84958;
;5197.876653;
;5168.824907;
;5173.416694;
;5206.27251;
;5227.123107;
;5265.674462;
;5244.309448;
;5278.539533;
;5328.729533;
;5406.611168;
;5468.75623;
;5705.733824;
;5940.267184;
;6123.114793;
;6469.311978;
;7113.471159;
;7708.078823;
;8235.064724;
;8818.90779;
;9792.159588;
;10584.82345;
;11481.44686;
;12220.62143;
;12831.89733;
;13277.87684;
;13497.60844;
;13581.46875;
;13403.35046;
;13369.84547;
;13040.2451;
;13096.73853;
;13128.06588;
;13294.53891;
;13542.20783;
;13600.31279;
;13553.4872;
;13567.15818;
;13618.68686;
;13362.00108;
;12982.00527;
;12703.10361;
;12424.84667;
;12435.57636;
;12924.7217;
;13080.04725;
;13191.88543;
;13286.22288;
;13158.55823;
;13145.6097;
;12785.53736;
;12630.43883;
;12389.32125;
;12411.32976;
;12284.57883;
;11969.11604;
;11312.95678;
;10553.46554;
;9741.634228;
;9210.603811;
;8631.695813;
;8221.838391;
;7886.665362;
;7725.832565;
;7372.039291;
;7295.5389;
;7233.331213;
;7200.25881;
;7054.468113;
;7026.435552;
;6934.12325;
;6868.150996;
;6763.555524;
;6708.989817;
;6618.534238;
;6525.380702;
;6471.057023;
;6416.525211;
;6325.106941;
;6200.732089;
;6063.750079;
;5970.053844;
;5805.113615;
;5782.878426;
;5622.130329;
;5567.953421;
;5490.505469;
;5463.703633;
;4976.517947;
;5329.059176;
;5280.740598;
;5286.498662;
;5306.615058;
;5239.24232;
;5265.169054;
;5220.307878;
;5270.090536;
;5212.414541;
;5231.312024;
;5226.183786;
;5225.623311;
;5196.712372;
;5188.053655;
;5215.975081;
;5280.77587;
;5299.277308;
;5434.155564;
;5484.038039;
;5761.901628;
;5964.239702;
;6171.915163;
;6542.64156;
;7199.936388;
;7703.619588;
;8245.291015;
;8708.122074;
;9628.85498;
;10286.04236;
;11268.31242;
;11890.52275;
;12387.22402;
;12740.98957;
;12879.21075;
;12909.66514;
;12817.76684;
;12817.96906;
;12495.17491;
;12491.31833;
;12524.82491;
;12759.07583;
;12882.18163;
;12979.90967;
;12854.97755;
;12951.0852;
;12760.70783;
;12719.93853;
;12213.71926;
;11834.69181;
;11577.44259;
;11533.60259;
;11728.19909;
;11986.65589;
;12014.51921;
;11896.29222;
;11675.04887;
;11555.22112;
;11299.42753;
;10988.29413;
;10590.44595;
;10465.52064;
;10226.30985;
;9917.045347;
;9290.320572;
;8752.838203;
;8227.923032;
;7880.798438;
;7525.696428;
;7150.542942;
;6963.287361;
;6841.49511;
;6556.428158;
;6480.603493;
;6360.62346;
;6281.786603;
;6180.080623;
;6109.929479;
;6029.53946;
;5992.453751;
;5824.87515;
;5759.218787;
;5751.748842;
;5617.150111;
;5604.294456;
;5499.543838;
;5368.064497;
;5301.840295;
;5222.338554;
;5190.774679;
;5097.932764;
;5010.009325;
;4913.019315;
;4887.983837;
;4883.411904;
;4821.134079;
;4327.219473;
;4712.18342;
;4659.615651;
;4664.035083;
;4642.99407;
;4583.439613;
;4550.259358;
;4597.655692;
;4571.109695;
;4517.445807;
;4524.701412;
;4520.861331;
;4460.148164;
;4486.569382;
;4437.58084;
;4403.596343;
;4410.118398;
;4377.321009;
;4449.106854;
;4390.066797;
;4409.773009;
;4464.439626;
;4480.061648;
;4595.917335;
;4597.409028;
;4765.884491;
;4868.278094;
;4890.756205;
;5002.385102;
;5057.319204;
;5131.048482;
;5155.354457;
;5324.917206;
;5296.668014;
;5292.973332;
;5343.515466;
;5329.049681;
;5364.041039;
;5314.104322;
;5323.089878;
;5288.155542;
;5343.293432;
;5339.606025;
;5376.272006;
;5314.495671;
;5279.973452;
;5271.658606;
;5188.515189;
;5000.117041;
;4975.319554;
;4898.407128;
;4737.261649;
;4699.360497;
;4693.356043;
;4685.433506;
;4636.985161;
;4639.722346;
;4560.307693;
;4530.595192;
;4463.384977;
;4431.458436;
;4381.442153;
;4390.905188;
;4364.567606;
;4323.674925;
;4326.926815;
;4296.169069;
;4307.385342;
;4293.620425;
;4211.717041;
;4262.983276;
;4146.112289;
;4150.234061;
;4088.916402;
